method_name,size,time
Logistic_regression,500,1777592057.426375
Logistic_regression,1000,1777592057.4262702
Logistic_regression,5000,1777592057.425295
Logistic_regression,10000,1777592057.4229546
Logistic_regression,100,1777592057.4261446
Logistic_regression,500,1777592057.4263618
Logistic_regression,1000,1777592057.4260824
Logistic_regression,5000,1777592057.4253638
Logistic_regression,10000,1777592057.4243636
Logistic_regression,100,1777592057.4264157
Logistic_regression,500,1777592057.4263012
Logistic_regression,1000,1777592057.4258893
Logistic_regression,5000,1777592057.4253635
Logistic_regression,10000,1777592057.4243884
Logistic_regression,100,1777592057.426413
Logistic_regression,500,1777592057.4263651
Logistic_regression,1000,1777592057.4258287
Logistic_regression,5000,1777592057.4252067
Logistic_regression,10000,1777592057.4235892
Logistic_regression,100,1777592057.4263642
Logistic_regression,500,1777592057.4263456
Logistic_regression,1000,1777592057.4262674
Logistic_regression,5000,1777592057.4255354
Logistic_regression,10000,1777592057.4241376
Logistic_regression,100,1777592057.4263844
Logistic_regression,500,1777592057.4263463
Logistic_regression,1000,1777592057.4262602
Logistic_regression,5000,1777592057.4248698
Logistic_regression,10000,1777592057.4244645
Logistic_regression,100,1777592057.4263325
Logistic_regression,500,1777592057.425839
Logistic_regression,1000,1777592057.4261143
Logistic_regression,5000,1777592057.424712
Logistic_regression,10000,1777592057.4238663
Logistic_regression,100,1777592057.425915
Logistic_regression,500,1777592057.4263341
Logistic_regression,1000,1777592057.4262495
Logistic_regression,5000,1777592057.4255126
Logistic_regression,10000,1777592057.4235501
Logistic_regression,100,1777592057.4255245
Logistic_regression,500,1777592057.4255896
Logistic_regression,1000,1777592057.4261832
Logistic_regression,5000,1777592057.4252565
Logistic_regression,10000,1777592057.4229295
Logistic_regression,100,1777592057.426158
Logistic_regression,500,1777592057.425972
Logistic_regression,1000,1777592057.4257126
Logistic_regression,5000,1777592057.4251988
Logistic_regression,10000,1777592057.422452
Logistic_regression,100,1777592057.4262884
Logistic_regression,500,1777592057.4262984
Logistic_regression,1000,1777592057.4262438
Logistic_regression,5000,1777592057.4253707
Logistic_regression,10000,1777592057.423055
Logistic_regression,100,1777592057.4261668
Logistic_regression,500,1777592057.4263325
Logistic_regression,1000,1777592057.4262397
Logistic_regression,5000,1777592057.4255087
Logistic_regression,10000,1777592057.424524
Logistic_regression,100,1777592057.4263384
Logistic_regression,500,1777592057.426201
Logistic_regression,1000,1777592057.4261954
Logistic_regression,5000,1777592057.4254236
Logistic_regression,10000,1777592057.4239647
Logistic_regression,100,1777592057.4263802
Logistic_regression,500,1777592057.426354
Logistic_regression,1000,1777592057.4262314
Logistic_regression,5000,1777592057.4251478
Logistic_regression,10000,1777592057.423725
Logistic_regression,100,1777592057.4263473
Logistic_regression,500,1777592057.426349
Logistic_regression,1000,1777592057.4262645
Logistic_regression,5000,1777592057.4254274
Logistic_regression,10000,1777592057.424362
Logistic_regression,100,1777592057.4264216
Logistic_regression,500,1777592057.426329
Logistic_regression,1000,1777592057.4262433
Logistic_regression,5000,1777592057.4250941
Logistic_regression,10000,1777592057.4243116
Logistic_regression,100,1777592057.4263625
Logistic_regression,500,1777592057.4263232
Logistic_regression,1000,1777592057.4262288
Logistic_regression,5000,1777592057.425556
Logistic_regression,10000,1777592057.424171
Logistic_regression,100,1777592057.4261615
Logistic_regression,500,1777592057.426363
Logistic_regression,1000,1777592057.4262187
Logistic_regression,5000,1777592057.4249277
Logistic_regression,10000,1777592057.4244485
Logistic_regression,100,1777592057.4264288
Logistic_regression,500,1777592057.4263785
Logistic_regression,1000,1777592057.4261925
Logistic_regression,5000,1777592057.4254868
Logistic_regression,10000,1777592057.4236906
